Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,,
GetLandingPage,1,2470,2470,2470,2470,2470,2470,2470,0.00%,0.40486,,
GetLandingPage-218,1,1879,1879,1879,1879,1879,1879,1879,0.00%,0.5322,,
GetLandingPage-219,1,591,591,591,591,591,591,591,0.00%,1.69205,,
saveLogin,1,3669,3669,3669,3669,3669,3669,3669,0.00%,0.27255,,
saveLogin-220,1,834,834,834,834,834,834,834,0.00%,1.19904,,
saveLogin-220-0,1,544,544,544,544,544,544,544,0.00%,1.83824,,
saveLogin-220-1,1,286,286,286,286,286,286,286,0.00%,3.4965,,
saveLogin-221,1,290,290,290,290,290,290,290,0.00%,3.44828,,
saveLogin-222,1,562,562,562,562,562,562,562,0.00%,1.77936,,
saveLogin-226,1,256,256,256,256,256,256,256,0.00%,3.90625,,
saveLogin-228,1,239,239,239,239,239,239,239,0.00%,4.1841,,
saveLogin-225,1,250,250,250,250,250,250,250,0.00%,4,,
saveLogin-227,1,286,286,286,286,286,286,286,0.00%,3.4965,,
saveLogin-224,1,249,249,249,249,249,249,249,0.00%,4.01606,,
saveLogin-229,1,254,254,254,254,254,254,254,0.00%,3.93701,,
saveLogin-231,1,216,216,216,216,216,216,216,0.00%,4.62963,,
saveLogin-230,1,233,233,233,233,233,233,233,0.00%,4.29185,,
navigateToPim,3,2635,2652,2655,2655,2655,2598,2655,0.00%,0.02922,,
navigateToPim-237,3,522,502,574,574,574,491,574,0.00%,0.02985,,
navigateToPim-237-0,3,230,228,243,243,243,220,243,0.00%,0.02992,,
navigateToPim-237-1,3,291,281,331,331,331,262,331,0.00%,0.02992,,
navigateToPim-238,3,267,266,270,270,270,266,270,0.00%,0.02994,,
navigateToPim-239,3,539,506,607,607,607,505,607,0.00%,0.02984,,
navigateToPim-240,3,211,212,213,213,213,210,213,0.00%,0.02992,,
navigateToPim-242,3,225,221,235,235,235,219,235,0.00%,0.02992,,
navigateToPim-244,3,230,230,231,231,231,230,231,0.00%,0.02992,,
navigateToPim-243,3,236,234,246,246,246,230,246,0.00%,0.02992,,
navigateToPim-241,3,402,401,408,408,408,398,408,0.00%,0.02987,,
navigateToAddEmp,3,1891,1891,1951,1951,1951,1832,1951,0.00%,0.02945,,
navigateToAddEmp-245,3,299,298,340,340,340,259,340,0.00%,0.02992,,
navigateToAddEmp-246,3,503,509,542,542,542,460,542,0.00%,0.02988,,
navigateToAddEmp-248,3,293,295,297,297,297,287,297,0.00%,0.02994,,
navigateToAddEmp-249,3,310,295,359,359,359,278,359,0.00%,0.02994,,
navigateToAddEmp-250,3,236,239,242,242,242,229,242,0.00%,0.02998,,
navigateToAddEmp-254,3,248,236,282,282,282,227,282,0.00%,0.02996,,
saveEmp,3,8200,8703,11211,11211,11211,4687,11211,0.00%,0.02868,,
saveEmp-255,3,643,330,1339,1339,1339,261,1339,0.00%,0.03035,,
saveEmp-256,3,262,263,271,271,271,253,271,0.00%,0.03112,,
saveEmp-257,3,532,533,538,538,538,525,538,0.00%,0.03094,,
saveEmp-258,3,431,411,477,477,477,406,477,0.00%,0.03077,,
saveEmp-259,3,601,554,731,731,731,520,731,0.00%,0.03103,,
saveEmp-261,3,214,207,232,232,232,203,232,0.00%,0.03086,,
saveEmp-262,3,253,259,262,262,262,239,262,0.00%,0.03083,,
saveEmp-264,3,240,245,248,248,248,229,248,0.00%,0.03078,,
saveEmp-260,3,314,288,368,368,368,287,368,0.00%,0.03132,,
saveEmp-265,3,352,240,597,597,597,219,597,0.00%,0.03133,,
saveEmp-263,3,1051,498,2424,2424,2424,233,2424,0.00%,0.03115,,
saveEmp-266,3,1366,288,3571,3571,3571,241,3571,0.00%,0.03083,,
saveEmp-269,3,268,248,330,330,330,228,330,0.00%,0.03086,,
saveEmp-267,3,250,256,279,279,279,216,279,0.00%,0.03125,,
saveEmp-268,3,1073,469,2496,2496,2496,255,2496,0.00%,0.0313,,
saveEmp-270,3,344,280,479,479,479,275,479,0.00%,0.03226,,
screenJob,3,3140,3055,3557,3557,3557,2808,3557,0.00%,0.03147,,
screenJob-271,3,397,355,492,492,492,345,492,0.00%,0.03231,,
screenJob-272,3,630,494,968,968,968,430,968,0.00%,0.03233,,
screenJob-274,3,206,205,211,211,211,202,211,0.00%,0.0326,,
screenJob-273,3,208,207,216,216,216,202,216,0.00%,0.0326,,
screenJob-277,3,256,237,308,308,308,225,308,0.00%,0.0326,,
screenJob-275,3,264,266,282,282,282,245,282,0.00%,0.03258,,
screenJob-278,3,257,238,313,313,313,222,313,0.00%,0.03259,,
