Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetLandingPage,1,2149,2149,2149,2149,2149,2149,2149,0.000%,.46533,48.93,0.70
GetLandingPage-1,1,1620,1620,1620,1620,1620,1620,1620,0.000%,.61728,2.76,0.29
GetLandingPage-2,1,448,448,448,448,448,448,448,0.000%,2.23214,221.70,1.17
GetLandingPage-4,1,81,81,81,81,81,81,81,0.000%,12.34568,16.73,6.27
saveLogin,1,3450,3450,3450,3450,3450,3450,3450,0.000%,.28986,37.09,2.19
saveLogin-12,1,825,825,825,825,825,825,825,0.000%,1.21212,11.23,1.92
saveLogin-12-0,1,542,542,542,542,542,542,542,0.000%,1.84502,3.22,1.61
saveLogin-12-1,1,280,280,280,280,280,280,280,0.000%,3.57143,26.86,2.55
saveLogin-13,1,266,266,266,266,266,266,266,0.000%,3.75940,28.27,2.31
saveLogin-14,1,445,445,445,445,445,445,445,0.000%,2.24719,223.30,1.19
saveLogin-16,1,254,254,254,254,254,254,254,0.000%,3.93701,8.62,2.58
saveLogin-17,1,244,244,244,244,244,244,244,0.000%,4.09836,4.87,2.46
saveLogin-20,1,217,217,217,217,217,217,217,0.000%,4.60829,5.59,2.70
saveLogin-19,1,233,233,233,233,233,233,233,0.000%,4.29185,4.72,2.61
saveLogin-18,1,243,243,243,243,243,243,243,0.000%,4.11523,5.80,2.44
saveLogin-21,1,229,229,229,229,229,229,229,0.000%,4.36681,5.94,2.60
saveLogin-23,1,281,281,281,281,281,281,281,0.000%,3.55872,8.26,2.04
saveLogin-22,1,213,213,213,213,213,213,213,0.000%,4.69484,4.86,2.93
navigateToRecruitment ,3,3537,3532,3556,3556,3556,3523,3556,0.000%,.10814,15.35,0.91
navigateToRecruitment-25,3,524,522,558,558,558,493,558,0.000%,.12125,1.09,0.15
navigateToRecruitment-25-0,3,250,238,288,288,288,224,288,0.000%,.12258,0.21,0.08
navigateToRecruitment-25-1,3,273,270,283,283,283,268,283,0.000%,.12236,0.89,0.08
navigateToRecruitment-26,3,271,274,284,284,284,255,284,0.000%,.12232,0.89,0.08
navigateToRecruitment-27,3,411,422,436,436,436,376,436,0.000%,.12150,12.07,0.07
navigateToRecruitment-29,3,235,235,243,243,243,227,243,0.000%,.12223,0.31,0.08
navigateToRecruitment-34,3,138,81,257,257,257,78,257,0.000%,.12304,0.07,0.08
navigateToRecruitment-31,3,239,241,243,243,243,234,243,0.000%,.12311,0.70,0.07
navigateToRecruitment-30,3,296,300,308,308,308,281,308,0.000%,.12272,1.00,0.08
navigateToRecruitment-32,3,231,237,242,242,242,215,242,0.000%,.12292,0.17,0.07
